nodo,pagerank
57,"0.0211000000"
246,"0.0212000000"
613,"0.0144000000"
760,"0.0210000000"
761,"0.0217000000"
765,"0.0316000000"
855,"0.0305000000"
985,"0.0234000000"
988,"0.0110000000"
1081,"0.0039200000"
1108,"0.0146000000"
1186,"0.0039200000"
1192,"0.1746927521"
1298,"0.0252000000"
1541,"0.0122000000"
1737,"0.0314000000"
1952,"0.0632000000"
2084,"0.0039200000"
2353,"0.0068200000"
2554,"0.0039200000"
2606,"0.0051200000"
2691,"0.0757889627"
2874,"0.0039200000"
3231,"0.0039200000"
3300,"0.0347000000"
3615,"0.0409000000"
3713,"0.0090600000"
3839,"0.2990291182"
3840,"0.0824341583"
3936,"0.0390000000"
3968,"0.2934439808"
3987,"0.0214000000"
4152,"0.0217000000"
4358,"0.0084000000"
4444,"0.0053700000"
4602,"0.0537000000"
4629,"0.0339000000"
5001,"0.0039200000"
5212,"0.0241000000"
5430,"0.0105000000"
5593,"0.0039200000"
5628,"0.0247000000"
5765,"0.1226045206"
5791,"0.0039200000"
5827,"0.0342000000"
6417,"0.0043900000"
6463,"0.0173000000"
6478,"0.0086400000"
7074,"0.0251000000"
7085,"0.0830655935"
7089,"0.0095000000"
7219,"0.0124000000"
8291,"0.0039200000"
8412,"0.0039200000"
8610,"0.0737202053"
8708,"0.0090600000"
8709,"0.0262000000"
8882,"0.0373000000"
8906,"0.0099200000"
8997,"0.0129000000"
9000,"0.0300000000"
9080,"0.0039200000"
9613,"0.0234000000"
9952,"0.0039200000"
10142,"0.0265000000"
10178,"0.1619824436"
10202,"0.5940855465"
10208,"0.0373000000"
10221,"0.0731592089"
10223,"0.0216000000"
10228,"0.0039200000"
10229,"0.0066800000"
10230,"0.0195000000"
10237,"0.0877689848"
10241,"0.0772464165"
10265,"0.0153000000"
10274,"0.0088100000"
10297,"0.0726212968"
10305,"0.0039200000"
10312,"0.0390000000"
10317,"0.0739164068"
10318,"0.0070200000"
10336,"0.0095800000"
10346,"0.0092300000"
10350,"0.2501415595"
10355,"0.0300000000"
10364,"0.0347000000"
10419,"0.1238425000"
10450,"0.0810732635"
10565,"0.0574000000"
10609,"0.0233000000"
10677,"0.0039200000"
10698,"0.0261000000"
10706,"0.0641000000"
10781,"0.0617000000"
10792,"0.0143000000"
10860,"0.0139000000"
10862,"0.0121000000"
10877,"0.0587000000"
10923,"0.0261000000"
11011,"0.0486000000"
11014,"0.0844336200"
11041,"0.0776778158"
11214,"0.0298000000"
11333,"0.0325000000"
11385,"0.0108000000"
11414,"0.1325904483"
11489,"0.0528000000"
11525,"0.1023163083"
11600,"0.0136000000"
11628,"0.0165000000"
11677,"0.0138000000"
11753,"0.0039200000"
11764,"0.0410000000"
11848,"0.0203000000"
12026,"0.0153000000"
12041,"0.0211000000"
12098,"0.0039200000"
12111,"0.0136000000"
12158,"0.0342000000"
12161,"0.0254000000"
12249,"0.0095400000"
12371,"0.0114000000"
12426,"0.0292000000"
12496,"0.0463000000"
12522,"0.2285074535"
12528,"0.0273000000"
12601,"0.0103000000"
12615,"0.0170000000"
12643,"0.0064200000"
12644,"0.0167000000"
12661,"0.0196000000"
12695,"0.0249000000"
12708,"0.0039200000"
12716,"0.0070600000"
12741,"0.0808267828"
12801,"0.0455000000"
12802,"0.0735300683"
12815,"0.0281000000"
12853,"0.1097820687"
12861,"0.0596000000"
12864,"0.0445000000"
12865,"0.0088700000"
12877,"0.0050300000"
12891,"0.0039200000"
12913,"0.0282000000"
12947,"0.0199000000"
12951,"0.0158000000"
13040,"0.0681503632"
13098,"0.1319291036"
13167,"0.0540000000"
13170,"0.0517000000"
13171,"0.0039200000"
13185,"0.0318000000"
13203,"0.0039200000"
13228,"0.0039200000"
13322,"0.0135000000"
13327,"0.0039200000"
13348,"1,0000000000"
13352,"0.0632000000"
13373,"0.0073800000"
13390,"0.0082800000"
13403,"0.0039200000"
13405,"0.1274317042"
13407,"0.0039200000"
13412,"0.0255000000"
13413,"0.0193000000"
13431,"0.0061400000"
13470,"0.0334000000"
13485,"0.0621000000"
13503,"0.0101000000"
13504,"0.0179000000"
13527,"0.0039200000"
13545,"0.0613000000"
13559,"0.0039200000"
13565,"0.0273000000"
13569,"0.0406000000"
13581,"0.0228000000"
13607,"0.0171000000"
13653,"0.0039200000"
13696,"0.0039200000"
13729,"0.0292000000"
13740,"0.0376000000"
13893,"0.0202000000"
14263,"0.0758244284"
14893,"0.0338000000"
15023,"0.0537000000"
15033,"0.0039200000"
15403,"0.0065800000"
15483,"0.0265000000"
15633,"0.0141000000"
16133,"0.1227635973"
16263,"0.0608000000"
16383,"0.0267000000"
16813,"0.0434000000"
16853,"0.0153000000"
16943,"0.0194000000"
17313,"0.0039200000"
17353,"0.0133000000"
17593,"0.0098100000"
17673,"0.0336000000"
18473,"0.0217000000"
18713,"0.1155818308"
19223,"0.0105000000"
19813,"0.0175000000"
20053,"0.0039200000"
21203,"0.0084500000"
21573,"0.0039200000"
21843,"0.0039200000"
22083,"0.0752079097"
22253,"0.0699263454"
22263,"0.0493000000"
22823,"0.0303000000"
22873,"0.0144000000"
23823,"0.0039200000"
24053,"0.0272000000"
24263,"0.0256000000"
24303,"0.0354000000"
24393,"0.0204000000"
24883,"0.0695798381"
24923,"0.0082900000"
25243,"0.0039200000"
25583,"0.0631000000"
25663,"0.1411181181"
25793,"0.0420000000"
25923,"0.0208000000"
26163,"0.0164000000"
26253,"0.0425000000"
26743,"0.1445647091"
27953,"0.0155000000"
29283,"0.0211000000"
30733,"0.0176000000"
30953,"0.0375000000"
31673,"0.0417000000"
32893,"0.0849522758"
33423,"0.1740096815"
33493,"0.0082900000"
34153,"0.0176000000"
34883,"0.0429000000"
35013,"0.0214000000"
35373,"0.0039200000"
35383,"0.0039200000"
35603,"0.0128000000"
36183,"0.1069729796"
36823,"0.0820832095"
36863,"0.0784794035"
37133,"0.0039200000"
38003,"0.0590000000"
38033,"0.0097100000"
38133,"0.0039200000"
38883,"0.0039200000"
39303,"0.0326000000"
39393,"0.0748838268"
39483,"0.0190000000"
39523,"0.0143000000"
39553,"0.0039200000"
39653,"0.0072200000"
40153,"0.0039200000"
40403,"0.0161000000"
40563,"0.0182000000"
41573,"0.0208000000"
41693,"0.1720779039"
42683,"0.0735106882"
42693,"0.0179000000"
43243,"0.0065600000"
43833,"0.0039200000"
44453,"0.0329000000"
45013,"0.0387000000"
45443,"0.0163000000"
45523,"0.0402000000"
46463,"0.0126000000"
47023,"0.0355000000"
47083,"0.0543000000"
47293,"0.0039200000"
47333,"0.0789047357"
47973,"0.1007087615"
48193,"0.0039200000"
48443,"0.1519976146"
48903,"0.0961715955"
49333,"0.0188000000"
50043,"0.1109217514"
50933,"0.0639000000"
51013,"0.0096700000"
53103,"0.0233000000"
53213,"0.0995288024"
53453,"0.0039200000"
53953,"0.1074886856"
54553,"0.0565000000"
54733,"0.0475000000"
54793,"0.0165000000"
55273,"0.0039200000"
55523,"0.0225000000"
55573,"0.0294000000"
55733,"0.0162000000"
55753,"0.0106000000"
55823,"0.0174000000"
56653,"0.2447612500"
56733,"0.0130000000"
56833,"0.1326983116"
56903,"0.0605000000"
57323,"0.0316000000"
57353,"0.0160000000"
57383,"0.0039200000"
57443,"0.0134000000"
57773,"0.0142000000"
57863,"0.0064000000"
58863,"0.0039200000"
59033,"0.0075300000"
59313,"0.0345000000"
59643,"0.0552000000"
60063,"0.0095100000"
60313,"0.0403000000"
60463,"0.0115000000"
61233,"0.0910399012"
61633,"0.0178000000"
62763,"0.1006670678"
62983,"0.0780535253"
64543,"0.0351000000"
65073,"0.0114000000"
65473,"0.0039200000"
65573,"0.0330000000"
66133,"0.0039200000"
66583,"0.0400000000"
66653,"0.0820784121"
67753,"0.0039200000"
67923,"0.0393000000"
68453,"0.0377000000"
68783,"0.0133000000"
69743,"0.0434000000"
70373,"0.0261000000"
70723,"0.0153000000"
71353,"0.0337000000"
72373,"0.1100924222"
72883,"0.0697512848"
73703,"0.0205000000"
73823,"0.0076400000"
73843,"0.1554653449"
74673,"0.0039200000"
74683,"0.0156000000"
75093,"0.0039200000"
75533,"0.0270000000"
76043,"0.0736233406"
76123,"0.0289000000"
76643,"0.0463000000"
77063,"0.0327000000"
78163,"0.0039200000"
78393,"0.0039200000"
78733,"0.0188000000"
78743,"0.0156000000"
79903,"0.0321000000"
80313,"0.0133000000"
81193,"0.0180000000"
81213,"0.0246000000"
81513,"0.0184000000"
82433,"0.0559000000"
86843,"0.0099600000"
89903,"0.0069600000"
104203,"0.0323000000"
109293,"0.0115000000"
111483,"0.0435000000"
118013,"0.0236000000"
120253,"0.0203000000"
125033,"0.0441000000"
125503,"0.0081100000"
139113,"0.0039200000"
160763,"0.0557000000"
161043,"0.0079400000"
165293,"0.0039200000"
182563,"0.0333000000"
186193,"0.0071900000"
194323,"0.0189000000"
211523,"0.0039200000"
249153,"0.0089500000"
277813,"0.0151000000"
279603,"0.0039200000"
284933,"0.0164000000"
302823,"0.0550000000"
307503,"0.0098500000"
330093,"0.0722535850"
332083,"0.0066800000"
332163,"0.0328000000"
334503,"0.0139000000"
336113,"0.0530000000"
336343,"0.0219000000"
348003,"0.0131000000"
350373,"0.0039200000"
368623,"0.0066700000"
369893,"0.0796007231"
379983,"0.0259000000"
383323,"0.0210000000"
385463,"0.0307000000"
393543,"0.0103000000"
394313,"0.0996724796"
404133,"0.1537609954"
406073,"0.0084400000"
408813,"0.0210000000"
421523,"0.0157000000"
435423,"0.0261000000"
447813,"0.0150000000"
469153,"0.0232000000"
471323,"0.0079900000"
471963,"0.0468000000"
495393,"0.0039200000"
496723,"0.0185000000"
511533,"0.0064200000"
517143,"0.0372000000"
545463,"0.0174000000"
546313,"0.0134000000"
557503,"0.0099500000"
560293,"0.0297000000"
586803,"0.0164000000"
591873,"0.0299000000"
592313,"0.0039200000"
593023,"0.0071400000"
595433,"0.0039200000"
598953,"0.0322000000"
603883,"0.0211000000"
607063,"0.0151000000"
607643,"0.0081900000"
607843,"0.0704118633"
608473,"0.1172954609"
608803,"0.0258000000"
610273,"0.0066400000"
610533,"0.0605000000"
610793,"0.0335000000"
611243,"0.0039200000"
611283,"0.0261000000"
611613,"0.0039200000"
611953,"0.0684637640"
614103,"0.0266000000"
614623,"0.0151000000"
614683,"0.0167000000"
614853,"0.0367000000"
615343,"0.0141000000"
615403,"0.0952870228"
615413,"0.0375000000"
616723,"0.0039200000"
617053,"0.0381000000"
618763,"0.0379000000"
619433,"0.0091200000"
620553,"0.0378000000"
620763,"0.0043300000"
620813,"0.0142000000"
620863,"0.0351000000"
621003,"0.0173000000"
621393,"0.0209000000"
621713,"0.0372000000"
622053,"0.0172000000"
623133,"0.0340000000"
623483,"0.0151000000"
623623,"0.1124105630"
623973,"0.0039200000"
624023,"0.0086000000"
624683,"0.0536000000"
625093,"0.0067300000"
625513,"0.0039200000"
625833,"0.0039200000"
626183,"0.0599000000"
626593,"0.0151000000"
627213,"0.0187000000"
627303,"0.0217000000"
627813,"0.0149000000"
629843,"0.0213000000"
630113,"0.0276000000"
630793,"0.0039200000"
631823,"0.0141000000"
632053,"0.0140000000"
632173,"0.0189000000"
632433,"0.1699096822"
632443,"0.0850335305"
633293,"0.0064900000"
634433,"0.0039200000"
635633,"0.0651418837"
636593,"0.0039200000"
636843,"0.0465000000"
637533,"0.0386000000"
637773,"0.0117000000"
638323,"0.0334000000"
638403,"0.0165000000"
639433,"0.0159000000"
639973,"0.0039200000"
640983,"0.0039200000"
641483,"0.0050700000"
641953,"0.0072900000"
643323,"0.0085400000"
646663,"0.0168000000"
649283,"0.0319000000"
649713,"0.0854268308"
652193,"0.0074700000"
652293,"0.0873054092"
653433,"0.0153000000"
655313,"0.0039200000"
656423,"0.0189000000"
656433,"0.0066800000"
656543,"0.0039200000"
656713,"0.0163000000"
657083,"0.0088300000"
657293,"0.0039200000"
657693,"0.0039200000"
658033,"0.0218000000"
658293,"0.0065500000"
659393,"0.0134000000"
659803,"0.0244000000"
660823,"0.0195000000"
661573,"0.0159000000"
662763,"0.0402000000"
663463,"0.1483989406"
665023,"0.0039200000"
666043,"0.1087087620"
666523,"0.0466000000"
667003,"0.0378000000"
667873,"0.0535000000"
668243,"0.0241000000"
668423,"0.0151000000"
669303,"0.0358000000"
671083,"0.0039200000"
671483,"0.0409000000"
671503,"0.0085100000"
671763,"0.0199000000"
672473,"0.0093300000"
672493,"0.0219000000"
673743,"0.0209000000"
674383,"0.0449000000"
674593,"0.0383000000"
675563,"0.0627000000"
676493,"0.0039200000"
676923,"0.0353000000"
677523,"0.0120000000"
678233,"0.0039200000"
678323,"0.0215000000"
678893,"0.0113000000"
679173,"0.0092500000"
679303,"0.1159836350"
680653,"0.0265000000"
680953,"0.0039200000"
681333,"0.0039200000"
681473,"0.0268000000"
682023,"0.0039200000"
682823,"0.0077200000"
682993,"0.0065300000"
684323,"0.0109000000"
685063,"0.0128000000"
685183,"0.0069900000"
685593,"0.0111000000"
686483,"0.0264000000"
686993,"0.0347000000"
688553,"0.0079500000"
688933,"0.0098400000"
688983,"0.0178000000"
690503,"0.0039200000"
691353,"0.0550000000"
693883,"0.0235000000"
694283,"0.0476000000"
695603,"0.0039200000"
697293,"0.0039200000"
697613,"0.0505000000"
698813,"0.0426000000"
701603,"0.0050400000"
701923,"0.0039200000"
704563,"0.0039200000"
704863,"0.0306000000"
705953,"0.0219000000"
706273,"0.0099700000"
708653,"0.0261000000"
709853,"0.0039200000"
710133,"0.0039200000"
710563,"0.0129000000"
710613,"0.0643744799"
710913,"0.0039200000"
711303,"0.5563597879"
711653,"0.0056000000"
711803,"0.0482000000"
711963,"0.0099600000"
712173,"0.0282000000"
713223,"0.0276000000"
713263,"0.0388000000"
713333,"0.1036454184"
714563,"0.0157000000"
714913,"0.0039200000"
715113,"0.0121000000"
715133,"0.0227000000"
716893,"0.0039200000"
717003,"0.1282468893"
717043,"0.0039200000"
717893,"0.0389000000"
720323,"0.0105000000"
720503,"0.0039200000"
721613,"0.0137000000"
722133,"0.0137000000"
722553,"0.0076800000"
722673,"0.0131000000"
722933,"0.0054200000"
722973,"0.0039200000"
724273,"0.0298000000"
724643,"0.0289000000"
724783,"0.0272000000"
725093,"0.0413000000"
725353,"0.0039200000"
725473,"0.0264000000"
725553,"0.0193000000"
726983,"0.0150000000"
727513,"0.0195000000"
727943,"0.1169021589"
730423,"0.0151000000"
730543,"0.0227000000"
731163,"0.0505000000"
731253,"0.0926840940"
731513,"0.0366000000"
731923,"0.0699167227"
732723,"0.0114000000"
732763,"0.0079900000"
732943,"0.0039200000"
733383,"0.0405000000"
733803,"0.0547000000"
733893,"0.0543000000"
734153,"0.0191000000"
734203,"0.0192000000"
735123,"0.0039200000"
735513,"0.0090500000"
736483,"0.0210000000"
739853,"0.0039200000"
740203,"0.0221000000"
740983,"0.0613000000"
741553,"0.0709980857"
742343,"0.0039200000"
742713,"0.0238000000"
742883,"0.0107000000"
744903,"0.0250000000"
745553,"0.0039200000"
745903,"0.0161000000"
746323,"0.2064226871"
747493,"0.0075500000"
748933,"0.0207000000"
749333,"0.2040598016"
749453,"0.0491000000"
749483,"0.0039200000"
749493,"0.0142000000"
749863,"0.1045748733"
750823,"0.0167000000"
751633,"0.0199000000"
752603,"0.0303000000"
752703,"0.0279000000"
752743,"0.0069600000"
753743,"0.0283000000"
754003,"0.0535000000"
754497,"0.0084500000"
754556,"0.0039200000"
754571,"0.0109000000"
754581,"0.0140000000"
754656,"0.0075300000"
754682,"0.0039200000"
754685,"0.0128000000"
754727,"0.0256000000"
754741,"0.0118000000"
754807,"0.0162000000"
754820,"0.0227000000"
754823,"0.0074600000"
754839,"0.0157000000"
754870,"0.0335000000"
754873,"0.0039200000"
754969,"0.0159000000"
754973,"0.0157000000"
755001,"0.0039200000"
755083,"0.0039200000"
755086,"0.0245000000"
755172,"0.0039200000"
755241,"0.0659083925"
755258,"0.0085800000"
755311,"0.0039200000"
755340,"0.0039200000"
755370,"0.0073200000"
755389,"0.0851789977"
755574,"0.0176000000"
755756,"0.0360000000"
755768,"0.0218000000"
756047,"0.0039200000"
756139,"0.0039200000"
756236,"0.0135000000"
756357,"0.0039200000"
756391,"0.0089300000"
756400,"0.0039200000"
756431,"0.0457000000"
756532,"0.0039200000"
756742,"0.0316000000"
756745,"0.0080200000"
756872,"0.0532000000"
756927,"0.0336000000"
756975,"0.0558000000"
757149,"0.0198000000"
757725,"0.0107000000"
757838,"0.0407000000"
757903,"0.0155000000"
758061,"0.0204000000"
758073,"0.0137000000"
758114,"0.0275000000"
758144,"0.0891522839"
758185,"0.0213000000"
758799,"0.0113000000"
758970,"0.0757284277"
759036,"0.0732288041"
759137,"0.0039200000"
759186,"0.0623000000"
759720,"0.0039200000"
759791,"0.0312000000"
759926,"0.0137000000"
760579,"0.0093300000"
760635,"0.0054400000"
760983,"0.0121000000"
761058,"0.0070800000"
761153,"0.0039200000"
761362,"0.0140000000"
761428,"0.0872719391"
761483,"0.0108000000"
761492,"0.0039200000"
761627,"0.0240000000"
761906,"0.0674667632"
761969,"0.1172604366"
762041,"0.0074200000"
762115,"0.0644948590"
763060,"0.0159000000"
763170,"0.0427000000"
763237,"0.0095100000"
763403,"0.0455000000"
763489,"0.0248000000"
763564,"0.0039200000"
763803,"0.0508000000"
764035,"0.0091800000"
764853,"0.0113000000"
764980,"0.0168000000"
765080,"0.0129000000"
765307,"0.0584000000"
765456,"0.0039200000"
765609,"0.0175000000"
765686,"0.0078500000"
765942,"0.0057200000"
766009,"0.0512000000"
766081,"0.0039200000"
766291,"0.0070200000"
766328,"0.0213000000"
767022,"0.0039200000"
767610,"0.0235000000"
767749,"0.0039200000"
768288,"0.0486000000"
768383,"0.0246000000"
768551,"0.0450000000"
768579,"0.0440000000"
768617,"0.0353000000"
768761,"0.0039200000"
768783,"0.0558000000"
768828,"0.0071100000"
768841,"0.0254000000"
768856,"0.0288000000"
768874,"0.0039200000"
769000,"0.0334000000"
769123,"0.0756541813"
769147,"0.0345000000"
769167,"0.0210000000"
769696,"0.0278000000"
769746,"0.0188000000"
769937,"0.0448000000"
770312,"0.0110000000"
770441,"0.0350000000"
770606,"0.0039200000"
771278,"0.0629000000"
771335,"0.0118000000"
771677,"0.0261000000"
772049,"0.0089600000"
772054,"0.0039200000"
772471,"0.0432000000"
772516,"0.0640000000"
772523,"0.0039200000"
772626,"0.0223000000"
772669,"0.0220000000"
772742,"0.0039200000"
772787,"0.0240000000"
